technology,parameter,year,value,unit,currency_year,financial_case,scenario,source,further description
CCGT,discount rate,2025,0.0535847804878049,per unit,2022,Market,Moderate,"NREL, NREL ATB 2024",
CCGT,discount rate,2025,0.0535847804878049,per unit,2022,Market,Conservative,"NREL, NREL ATB 2024",
CCGT,discount rate,2025,0.0535847804878049,per unit,2022,R&D,Advanced,"NREL, NREL ATB 2024",
CCGT,discount rate,2025,0.0535847804878049,per unit,2022,R&D,Moderate,"NREL, NREL ATB 2024",
CCGT,discount rate,2025,0.0535847804878049,per unit,2022,R&D,Conservative,"NREL, NREL ATB 2024",
CCGT,discount rate,2030,0.0535847804878049,per unit,2022,Market,Advanced,"NREL, NREL ATB 2024",
CCGT,discount rate,2030,0.0535847804878049,per unit,2022,Market,Moderate,"NREL, NREL ATB 2024",
CCGT,discount rate,2030,0.0535847804878049,per unit,2022,Market,Conservative,"NREL, NREL ATB 2024",
CCGT,discount rate,2030,0.0535847804878049,per unit,2022,R&D,Advanced,"NREL, NREL ATB 2024",
CCGT,discount rate,2030,0.0535847804878049,per unit,2022,R&D,Moderate,"NREL, NREL ATB 2024",
CCGT,discount rate,2030,0.0535847804878049,per unit,2022,R&D,Conservative,"NREL, NREL ATB 2024",
CCGT,discount rate,2035,0.0535847804878049,per unit,2022,Market,Advanced,"NREL, NREL ATB 2024",
CCGT,discount rate,2035,0.0535847804878049,per unit,2022,Market,Moderate,"NREL, NREL ATB 2024",
CCGT,discount rate,2035,0.0535847804878049,per unit,2022,Market,Conservative,"NREL, NREL ATB 2024",
CCGT,discount rate,2035,0.0535847804878049,per unit,2022,R&D,Advanced,"NREL, NREL ATB 2024",
CCGT,discount rate,2035,0.0535847804878049,per unit,2022,R&D,Moderate,"NREL, NREL ATB 2024",
CCGT,discount rate,2035,0.0535847804878049,per unit,2022,R&D,Conservative,"NREL, NREL ATB 2024",
CCGT,discount rate,2040,0.0535847804878049,per unit,2022,Market,Advanced,"NREL, NREL ATB 2024",
CCGT,discount rate,2040,0.0535847804878049,per unit,2022,Market,Moderate,"NREL, NREL ATB 2024",
CCGT,discount rate,2040,0.0535847804878049,per unit,2022,Market,Conservative,"NREL, NREL ATB 2024",
CCGT,discount rate,2040,0.0535847804878049,per unit,2022,R&D,Advanced,"NREL, NREL ATB 2024",
CCGT,discount rate,2040,0.0535847804878049,per unit,2022,R&D,Moderate,"NREL, NREL ATB 2024",
